GENESIS-Tabelle: 61121-0001
Harmonised index of consumer prices: Germany, years;;
Harmonised index of consumer prices;;
Germany;;
;Harmonised index of consumer prices;Annual rate of change
;2015=100;percent
1996;75.7;-
1997;76.9;1.5
1998;77.3;0.6
1999;77.8;0.6
2000;78.9;1.4
2001;80.4;1.9
2002;81.5;1.3
2003;82.4;1.1
2004;83.8;1.8
2005;85.5;1.9
2006;87.0;1.8
2007;89.0;2.3
2008;91.4;2.8
2009;91.6;0.2
2010;92.7;1.1
2011;95.0;2.5
2012;97.0;2.2
2013;98.6;1.6
2014;99.3;0.8
2015;100.0;0.7
2016;100.4;0.4
2017;102.1;1.7
2018;104.0;1.9
2019;105.5;1.4
2020;105.8;0.4
2021;109.2;3.2
2022;118.7;8.7
2023;125.9;6.0
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-01-24 / 16:17:39
