2022;6.87 %
2021;3.07 %
2020;0.14 %
2019;1.45 %
2018;1.73 %
2017;1.51 %
2016;0.49 %
2015;0.51 %
2014;0.91 %
2013;1.50 %
2012;2.01 %
2011;2.08 %
2010;1.10 %
2009;0.31 %
2008;2.63 %
2007;2.30 %
2006;1.58 %
2005;1.55 %
2004;1.67 %
2003;1.03 %
2002;1.42 %
2001;1.98 %
2000;1.44 %
1999;0.59 %
1998;0.91 %
1997;1.94 %
1996;1.45 %
1995;1.71 %
1994;2.69 %
1993;4.47 %
1992;5.06 %
1991;4.05 %
1990;2.70 %
1989;2.78 %
1988;1.27 %
1987;0.25 %
1986;-0.13 %
1985;2.07 %
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
